year,HorSusFanSci,DraRomWar,ComMus,ActAdvWesCriThr,Doc,Ani
1983,944981400,1010690070,912143200,1013058400,0,77973300
1984,460258800,1245492600,1382216000,1583075400,0,0
1985,753424900,1244159400,545573800,1175312200,0,0
1986,693058600,608196300,1279118500,1218642400,0,102262300
1987,338054400,728859900,1462162300,1088411700,0,97240100
1988,1017325200,857257500,893891200,795752900,0,203664300
1989,576388700,821775000,1773299400,1608697700,0,167803600
1990,560661300,1024564100,1200719000,2110392400,0,0
1991,777158700,669466400,1063121000,1552601300,0,403224100
1992,162261700,1371075700,1235438100,1772181800,0,427929600
1993,957627200,897355700,1251377600,1733699000,0,0
1994,618896700,386673700,1996517000,1655269000,0,608934900
1995,317524000,728659700,666467700,2261401600,0,623549600
1996,918510400,644197500,1853854900,1596541000,0,299195700
1997,2137802000,1772617700,464990900,1465161200,0,176199300
1998,745517600,1150201900,1284600200,1069633000,135266400,989267500
1999,1971500700,988472800,758303100,1533455400,0,802684700
2000,743076200,878488600,967616000,2261289600,0,501634900
2001,1560583800,945072800,667249900,1989846400,0,753810600
2002,2212794500,680403000,1126911900,1826917900,0,452496200
2003,678302200,620108300,1547845800,2275910500,0,459713800
2004,971153200,904829400,635733200,1820264700,156623100,1347440300
2005,1618534200,379821100,1065623800,1590489300,0,581882500
2006,213873800,457123200,900203000,2290792900,0,1091465100
2007,1024639800,176446900,1196689400,2327028100,0,994860900
2008,784004300,334090800,736746100,2235622000,0,1009017800
2009,2663861100,582706600,700543200,1069922200,0,1031847000
2010,1388670800,566383200,436923800,1194331000,0,1516919800
2011,1323255600,174600200,944138200,1232351300,0,791627800
2012,912057100,323792300,515772700,2831208000,0,1193414200
