year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Romance,Sci-Fi,Thriller,War,Western,
1983,368405079,29600000,30100000,313889222,0,0,344842146,0,80242055,40218899,92921203,282034536,0,0,0,
1984,311485963,302301072,0,537920741,0,0,447044808,36403064,0,0,69821334,155242903,48143579,0,0,
1985,295932372,137362880,0,237351303,0,0,464826617,0,0,0,87071205,363560607,40491165,0,41410568,
1986,383651948,174803506,47483002,548346659,0,0,104581396,41382841,40996665,38748395,40471663,235329945,0,138530565,0,
1987,309786542,0,46594212,715190679,57915972,0,98199646,0,108559732,0,211082789,53424681,156645693,46357676,0,
1988,136724463,109306210,101371901,445525979,109109779,0,229867301,389019565,123077360,0,192890959,0,0,0,45661556,
1989,398442910,327895978,84355863,879544686,0,0,244050832,0,57469467,0,92823546,224882361,58571513,70001698,0,
1990,431522117,135265915,0,621066229,66666062,0,134767208,56362352,114697445,0,396037574,119394840,147580060,0,271936431,
1991,137378510,244150721,206693648,546967854,106618085,0,287101397,119654823,0,0,54830779,279732341,311433896,0,0,
1992,474477951,0,217350219,628226897,0,0,370853199,0,82522790,0,250498799,0,325451573,75505856,101157447,
1993,370239794,131597470,0,637142786,0,0,77446440,70906973,0,0,283376935,415123715,322295946,96065768,56505065,
1994,497773984,0,312855561,1027648444,158211528,0,149653972,0,170267205,0,52700832,147238387,92115211,0,101631272,
1995,867655662,100475249,333376006,356826337,139538440,0,167489372,0,0,0,222258165,169268321,100125643,0,0,
1996,728838600,0,163257237,1013695863,0,0,213402389,0,103046663,0,78676425,398197156,136492681,59031057,0,
1997,686107359,0,99112101,262097412,64616940,0,138433435,181410615,239835202,0,876386228,786553106,75982834,0,0,
1998,523645967,94095523,576084545,757748810,0,87178599,0,0,0,0,451236985,421790789,0,216540909,0,
1999,126943684,392823967,502688660,472080885,106885658,0,266897975,0,626528044,0,356051583,602568225,219447410,0,113804681,
2000,1284819461,0,333885314,640169759,124115725,0,474882098,182811707,312484122,0,0,0,95011339,113330342,0,
2001,501866281,408124301,523538261,462826124,183417150,0,261799347,630939664,96522687,0,93607673,361183615,265710612,307181299,0,
2002,947326615,153294164,322181743,643453019,104454762,0,116750901,601778363,129128133,170687518,368661626,852649615,96397334,0,0,
2003,1161772496,417175900,339714978,1148003486,106128601,0,120277854,377027325,0,0,230542111,139313948,0,111127263,0,
2004,736568565,425021699,1026304605,488758377,226549983,119194771,573377137,249541069,344733966,0,120908074,144801023,0,0,0,
2005,546376133,424539101,457182198,838088358,110332737,0,119519402,961994570,87039965,0,179495555,234280354,89707299,0,83043761,
2006,735919415,674179080,877538519,623315550,220897810,0,163566459,82985708,90710620,103365956,207418467,0,217536138,0,0,
2007,1181193421,657191802,838931889,889213119,130164645,0,0,292004738,0,118871849,148768917,575639203,0,0,0,
2008,1303028101,664203421,887836723,504134312,0,0,141319928,689846944,0,144130063,152647258,0,0,0,0,
2009,450266752,386272400,950655533,643273293,0,0,255959475,598582831,0,0,163958031,1880925821,133375846,120540719,0,
2010,118311368,646624441,1472074672,427669478,119219978,0,440057695,891502131,0,0,110485654,464638958,106954678,0,171243005,
2011,776920707,427920220,773059379,924919794,0,0,169708112,662298352,0,0,0,919164384,0,0,0,
2012,2450574029,155332381,1166762969,350908445,0,0,318232101,595328305,0,148809770,0,305497938,0,0,162805434,
